,GPA,Leadership Capability,Technical Aptitude,Years of Experience,Soft Skills,Job Performance,Military Tenure,Avg Commute Time,Job Tenure,Employee Referrals,HireVue Score,Cultural Fit,Education,Educational Prestige,Degree,LinkedIn Score,Responsible Social Media Use,Arrest Record,Criminal Record,Names,Gender,Race
0,3.211326789360232,-0.4469079967921937,0.7605399012447751,5.033986751341221,2.4152023840993517,-2,1.1027676504057515,44.576763112275955,1.0858351819952057,0.0,0.0,0.0,2.0,1.0,Humanities,Very Good,Good,0.0,0.0,William Marshall,0.0,0.0
1,3.4148820758337024,0.803361101640986,3.0427919974951143,5.53091802224508,3.9429872080260333,2,2.1829813134979648,27.098280640007033,3.2603135275036106,1.0,2.0,2.0,1.0,1.0,Engineering,Ok,Good,0.0,0.0,Charles Mondragon,0.0,0.0
2,3.5961663065323766,0.36898331224515846,2.492037414638219,3.5365012087852747,3.9575136492750476,2,0.0,87.89258550185636,0.0,1.0,2.0,2.0,1.0,1.0,Sciences,Very Good,Good,0.0,0.0,Marion Espinoza,0.0,2.0
3,2.6344186635076943,-0.66106578164232,2.5250439692583795,4.5076966707311605,3.292339226100512,0,3.4622076964713955,0.36350241891165425,5.939992272601686,0.0,0.0,0.0,2.0,1.0,Engineering,Very Good,Bad,0.0,0.0,Genna Bolding,1.0,0.0
4,3.224974433320127,0.6299022689177469,2.2459538941210555,7.793361693862481,4.0936331164210324,2,1.0540763081566082,58.290080359969394,0.8918752623652981,1.0,2.0,2.0,2.0,1.0,Quantitative,Ok,Good,0.0,0.0,Thomas Goodwin,0.0,2.0
5,2.822652565838809,-0.4612309702142937,1.9096911947254298,2.8796284534779035,3.0430532229678304,0,2.317505564188564,20.074501001395554,3.561998357995126,0.0,0.0,0.0,2.0,1.0,Humanities,Ok,Good,1.0,0.0,Paula Smith,1.0,2.0
6,2.6497595529373013,0.8163960528779575,0.9960128050293882,6.6158825735514615,2.6197935522099067,0,1.0201966721177271,61.68872083312505,0.7543864949686085,0.0,0.0,0.0,1.0,1.0,Engineering,None,Good,0.0,0.0,Dora Miller,1.0,2.0
7,3.623170270491667,0.7747148686633368,2.5880312708820656,9.587317831023837,4.454619143374237,2,1.7022168967288083,26.710600089161417,2.9744746472299224,1.0,2.0,1.0,1.0,1.0,Engineering,Ok,Good,0.0,0.0,Donald Inman,0.0,0.0
8,3.3495599100346234,0.8063287011326306,3.4389536638981806,5.927911540946617,3.253124438531677,0,2.3548288780829316,24.59534759725044,3.572556423448706,0.0,0.0,0.0,2.0,1.0,Humanities,Ok,Good,0.0,0.0,James Brown,0.0,2.0
9,2.505143957222101,-0.2681857570484965,0.9968732951086756,1.290543671747486,1.8430657591574113,-2,0.6010590812145664,53.4487529631305,0.7746747679306556,0.0,0.0,0.0,1.0,1.0,Humanities,Ok,Bad,0.0,0.0,Emma Frost,1.0,0.0
10,2.8965305668249317,-0.5888202230293075,2.5384565809418413,1.9740555600602407,3.359512062289893,0,2.867800345104869,9.104954122781255,4.60417541409206,0.0,0.0,0.0,1.0,1.0,Humanities,None,Good,0.0,0.0,Lenora Ruple,1.0,2.0
11,3.0547743888113694,-0.5651105860802726,0.34900819167667296,3.0944229818812263,2.238239083767395,-2,1.7282738097522727,36.56375146864051,2.1023861759924922,0.0,0.0,0.0,1.0,1.0,Sciences,Ok,Bad,0.0,0.0,Alex Lewis,0.0,2.0
