Names,Race,Gender,Sports,Birth Origin,Age,Zip,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record
Steven Silvers,Caucasian,male,0.0,Australia,32.0,94105,3,2.81,0.29,4.0,3.15,10.82,2.0,45.0,0.0,-1.19,1.69,-1.06,0.01,7.35,Quantitative,Very Good,Good,0.0,0.0,0.0
Gertrude Thompson,Hispanic,female,0.0,USA,29.0,94598,2,2.97,0.02,5.5,2.36,6.6000000000000005,0.0,67.0,0.5,-2.59,2.12,0.75,1.49,9.04,Humanities,Ok,Good,0.0,0.0,0.0
Maggie Kirk,Caucasian,female,0.0,USA,29.0,94043,5,3.74,0.65,5.0,3.98,13.69,0.0,6.0,4.0,0.97,1.92,0.14,-0.0,6.94,Engineering,Ok,Good,1.0,0.0,0.0
Harold Self,Asian,male,1.0,USA,31.0,94085,4,3.43,0.31,3.5,2.86,10.35,0.0,9.0,5.0,1.65,0.85,-3.12,-2.48,4.22,Engineering,Ok,Bad,0.0,0.0,0.0
Shirley Davidson,Hispanic,female,1.0,USA,28.0,94105,1,3.0,0.21,3.5,2.85,5.98,0.0,45.0,0.0,-4.2,2.61,0.19,0.11,7.31,Engineering,Ok,Bad,0.0,1.0,0.0
Frank Kelley,Other,male,1.0,USA,29.0,94925,1,2.57,0.58,3.0,2.6,6.62,0.0,66.0,2.5,-0.32,0.79,-2.65,-1.84,4.93,Engineering,Ok,Bad,0.0,0.0,0.0
Clifton Cormier,Caucasian,male,1.0,USA,37.0,94089,4,3.23,0.52,7.0,3.36,10.6,0.0,11.0,5.0,-2.82,1.45,-1.07,-0.92,5.83,Engineering,Ok,Good,0.0,0.0,0.0
Claudio Sanders,African-American,male,2.0,USA,33.0,94022,5,2.92,0.81,9.0,4.49,15.66,0.0,13.0,4.0,0.45999999999999996,3.75,2.94,2.31,9.75,Quantitative,Very Good,Good,1.0,1.0,0.0
Virgil Marques,Caucasian,male,1.0,USA,30.0,94538,2,3.44,0.6,3.0,3.29,9.73,2.5,21.0,3.5,0.76,1.22,-2.01,-1.24,5.74,Quantitative,None,Bad,0.0,1.0,0.0
Alda Davis,Caucasian,female,0.0,USA,23.0,94609,3,2.83,0.5,2.0,2.41,7.97,0.0,50.0,0.5,-0.5,1.14,-0.08,1.11,8.44,Engineering,None,Good,0.0,0.0,0.0
Glenn Affagato,Caucasian,male,2.0,USA,32.0,94544,5,3.13,0.83,6.5,4.67,15.67,0.0,32.0,2.0,0.22,0.43,-3.9,-4.24,1.84,Engineering,Very Good,Good,1.0,0.0,0.0
Mary Walker,Caucasian,female,0.0,USA,33.0,94566,2,3.02,0.6,5.0,2.97,7.69,0.0,35.0,3.0,-1.22,0.06,-2.66,-1.69,5.04,Engineering,Ok,Good,0.0,0.0,0.0
Kathryn Markert,Caucasian,female,0.0,USA,28.0,94960,1,3.26,0.25,6.5,3.76,10.19,0.0,76.0,1.0,1.01,2.76,0.73,0.29,7.34,Quantitative,Ok,Good,0.0,0.0,0.0
Steven Jennings,Hispanic,male,1.0,Canada,33.0,94022,1,3.5,0.81,5.5,4.2,10.059999999999999,0.0,13.0,3.5,-0.14,2.56,2.47,2.6,9.99,Engineering,Very Good,Good,0.0,0.0,0.0
Lucas Moody,Hispanic,male,1.0,USA,30.0,94043,3,2.72,0.4,2.0,2.23,7.21,3.0,7.0,5.0,1.08,2.27,0.92,1.12,8.44,Quantitative,None,Good,0.0,0.0,0.0
Steven Kimble,Asian,male,1.0,USA,24.0,94941,1,2.64,0.21,0.0,1.49,0.9700000000000006,0.0,75.0,3.0,0.56,2.21,0.22,-0.95,5.5,Engineering,Ok,Good,1.0,1.0,1.0
Bradley Galvan,African-American,male,2.0,USA,31.0,94707,5,3.45,0.73,7.0,3.73,12.059999999999999,0.0,61.0,3.0,-0.69,0.8,-2.22,-1.16,5.87,Engineering,Ok,Good,1.0,0.0,0.0
Robert Montalvo,Asian,male,1.0,USA,26.0,94043,1,2.79,0.19,4.0,2.71,7.470000000000001,0.0,6.0,3.0,0.24,1.52,-0.88,-1.2,5.47,Humanities,Very Good,Bad,0.0,0.0,0.0
Lisa Gibbons,Caucasian,female,0.0,USA,32.0,95035,2,3.15,0.31,2.0,2.98,9.7,0.0,18.0,4.0,-0.53,2.88,3.5,3.23,10.77,Engineering,Very Good,Good,0.0,0.0,0.0
Terra Coats,Caucasian,female,0.0,USA,28.0,94560,2,2.3,0.46,1.0,2.25,6.97,0.0,29.0,1.0,0.44,0.59,-2.09,-0.86,6.23,Humanities,Very Good,Good,0.0,1.0,0.0
Richard Pacitto,African-American,male,1.0,USA,27.0,94545,3,2.56,0.5,3.0,2.48,7.62,0.0,37.0,0.0,-2.86,2.36,1.21,0.87,7.95,Quantitative,Very Good,Good,0.0,0.0,0.0
Charles Mcneill,Hispanic,male,0.0,USA,33.0,95134,4,3.16,0.48,1.5,2.3,7.64,0.0,16.0,5.5,1.71,4.27,2.79,1.89,9.25,Engineering,Ok,Bad,0.0,0.0,0.0
Delmar Pendergrass,Caucasian,male,1.0,USA,30.0,94403,5,3.1,0.52,4.0,2.82,10.77,0.0,26.0,7.0,-2.94,2.15,-0.25,-0.59,6.26,Engineering,Very Good,Bad,1.0,0.0,0.0
Donald Dean,Asian,male,1.0,USA,26.0,95134,4,3.21,0.48,4.5,3.37,11.66,0.5,16.0,1.0,-2.09,1.04,-2.29,-1.3,5.79,Quantitative,Ok,Good,0.0,0.0,0.0
Harold Clemons,African-American,male,2.0,USA,29.0,94609,3,3.01,0.62,7.0,4.09,11.78,0.0,50.0,2.0,-1.87,4.58,5.24,3.86,11.35,Sciences,Very Good,Good,0.0,0.0,0.0
Shanel Gonzales,Caucasian,female,0.0,USA,33.0,94903,4,3.36,0.21,6.0,3.03,10.29,0.0,70.0,3.5,3.23,2.42,0.91,0.45,7.33,Quantitative,Ok,Bad,0.0,0.0,1.0
James Mcbeth,Caucasian,male,0.0,USA,32.0,94022,5,2.91,0.23,6.0,3.33,12.43,0.0,13.0,3.5,-1.87,2.41,-0.84,-1.13,5.85,Engineering,Ok,Good,0.0,0.0,0.0
Robert Celedon,Caucasian,male,1.0,USA,32.0,94040,1,2.81,0.46,0.0,2.1,6.34,0.0,1.0,7.0,0.73,2.07,1.5,1.46,8.65,Engineering,Very Good,Good,0.0,1.0,0.0
Aaron Sexton,Caucasian,male,1.0,USA,25.0,94560,2,2.72,0.23,0.0,1.81,6.15,0.0,29.0,4.0,0.07,1.23,-0.21,0.08,7.0,Engineering,Ok,Good,0.0,1.0,0.0
