,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,Sports,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,HireVue Score,Arrest Record,Criminal Record,Names,Race,Gender,Birth Origin,Age
0,0.9692610523017334,3.747546871844064,2.6998125594789935,7.68432327152818,3.9394637497888985,3.2590102236659595,2.261620372300233,63.36713522481192,3.3795421355988537,0.5572152805817865,2.261620372300233,63.36713522481192,0.5572152805817865,6.379542135598854,Engineering,Very Good,Good,1.0,2.0,1.0,0.0,Roberto Jackson,African-American,male,Australia,22.0
1,1.0814366907476838,3.893812285691105,2.3815494122636456,5.60616168637564,3.3885436693251867,2.5144092166327727,1.7142034397919015,47.6911598202209,2.7425242260056146,-0.31041154409071264,1.7142034397919015,47.6911598202209,-0.31041154409071264,5.742524226005615,Engineering,Very Good,Good,0.0,2.0,0.0,1.0,Arron Poteat,African-American,male,Canada,33.0
2,0.3856133587384659,2.5468366495882595,1.9679704424145241,2.5727752457035535,2.2674589025564114,-1.0742704309577331,2.238305518456637,52.19619832778169,3.0788366746957805,0.39820578828675524,2.238305518456637,52.19619832778169,0.39820578828675524,6.078836674695781,Engineering,Ok,Good,0.0,0.0,1.0,1.0,Christopher Hunter,African-American,male,Australia,28.0
3,0.5926881960127774,2.7854473839821727,2.080274650546249,4.380666333295556,3.1320018206327025,1.7627052324893393,1.068822033376815,34.83133967314701,1.510390968634033,-0.9975283176024026,1.068822033376815,34.83133967314701,-0.9975283176024026,4.510390968634033,Quantitative,Very Good,Good,0.0,2.0,0.0,1.0,Patrick Feather,African-American,male,Australia,26.0
4,-0.9949650003997372,3.5584318692006027,3.3308153690188087,4.791595645533034,3.641548691628354,-1.0994744493544686,2.3107270462998932,29.421399394202087,3.14909672604412,-0.08865345656148162,2.3107270462998932,29.421399394202087,-0.08865345656148162,6.14909672604412,Engineering,Ok,Good,0.0,0.0,1.0,1.0,Javier Scott,African-American,male,China,24.0
5,0.4341223997849538,3.4259354346917914,2.7453832184592057,3.6648695070659483,3.6830744435898994,2.873083111832473,3.7923557194678073,49.26984584868262,6.348326792375174,2.9652673857680867,3.7923557194678073,49.26984584868262,2.9652673857680867,9.348326792375174,Engineering,Ok,Good,1.0,2.0,1.0,0.0,Gary Friedman,African-American,male,Australia,27.0
6,0.4808465504409633,2.7805617657869743,3.0545757503751974,5.965068327692278,3.1391322440167,0.41143503567002615,1.1325131407361986,40.84158724170336,1.2319885126339598,-1.9638753733785848,1.1325131407361986,40.84158724170336,-1.9638753733785848,4.23198851263396,Quantitative,Very Good,Good,0.0,0.0,0.0,1.0,David Pahl,African-American,male,China,29.0
7,0.1759498286556919,2.896042636009264,1.118900492779169,2.5478857209755112,1.9780419614478724,-2.3380735377520376,2.193141780172249,47.15967216257607,4.179354340608446,0.8014745024408573,2.193141780172249,47.15967216257607,0.8014745024408573,7.179354340608446,Sciences,Very Good,Bad,0.0,0.0,1.0,1.0,Jay Kenimer,African-American,male,Australia,32.0
8,-1.4992647613838346,3.035111175954667,1.3287588565643267,3.889037543717867,2.84171532276783,-3.37376738050302,3.9096969241051527,34.795135600444205,6.609077307334941,3.2100967883865796,3.9096969241051527,34.795135600444205,3.2100967883865796,9.60907730733494,Quantitative,None,Good,0.0,0.0,1.0,1.0,Edward Nelson,African-American,male,Mexico,26.0
9,1.0641909329527877,3.3075810090017708,2.6929422437442216,3.1624797476615742,2.316397836030247,-0.524423734415519,2.8531611728991155,33.528425531274834,4.702378578312053,1.615387106401932,2.8531611728991155,33.528425531274834,1.615387106401932,7.702378578312053,Humanities,Ok,Bad,0.0,0.0,1.0,1.0,Brian Putnam,African-American,male,India,29.0
10,-0.05001572534819349,3.155317762861159,1.1371392474074393,7.214380293155248,3.1022584486950944,-0.45535935508270786,2.298490167132107,69.58584994474356,3.2779714094203607,0.558836364827877,2.298490167132107,69.58584994474356,0.558836364827877,6.277971409420361,Engineering,Very Good,Bad,1.0,0.0,1.0,1.0,Anthony Miller,African-American,male,United States,28.0
11,-0.5420299595930287,3.444447819564405,-0.034818141331600216,2.385822290138269,2.1501544803506034,-2.915290054099382,3.543112979505871,29.100827094075996,6.210613249101387,2.297055265756847,3.543112979505871,29.100827094075996,2.297055265756847,9.210613249101387,Engineering,Ok,Bad,0.0,0.0,1.0,1.0,Erick Laird,African-American,male,China,24.0
12,-0.11085107891769998,2.9111779285054737,2.3836541046555015,-0.3487669921767269,2.743868776465025,0.007747650420400751,2.789559005809928,26.320587331999743,4.329779855197826,0.6300305138660378,2.789559005809928,26.320587331999743,0.6300305138660378,7.329779855197826,Quantitative,None,Bad,0.0,0.0,0.0,1.0,Aaron Spence,African-American,male,Canada,30.0
13,1.3144181243714395,3.872423509295337,1.9389925821508291,6.9268765237254994,4.420226183468507,6.582727219046691,2.872684494214644,33.43986059415253,5.331104625274068,2.271786792908269,2.872684494214644,33.43986059415253,2.271786792908269,8.331104625274069,Engineering,Very Good,Good,1.0,2.0,0.0,1.0,Edwin Nelson,African-American,male,India,21.0
