,Unnamed: 0,Names,GPA,Avg Commute Time,Cultural Fit,Technical Aptitude,Soft Skills,Employee Referral,Years of Experience,Leadership Capability,Race,Sex,Age,Birth Origin,Education,Undergraduate Degree,Educational Prestige,Sports,Criminal Record,Arrest Records,LinkedIn Score,Responsible Social Media Use,HireVue Score,scores
211,211,Terry Bair,0.9135946827500001,0.425,1.2,1.0,0.8,0.9,3.0,0.41667109680000003,0,0,25,United States,0.7,Humanities,0.6,None,0,0,0.0,0.5,0.0,4.230265779550001
262,262,Thomas Whitten,0.8026572345,0.38,1.2,1.0,0.8,0.0,2.0,0.9164619007999999,0,0,25,United States,0.7,Humanities,0.6,Club/Intramural,0,0,0.2,0.5,0.0,3.7191191352999997
67,67,Suzanne Phillips,0.946797765,0.38,0.6,0.5,0.8,0.9,3.0,0.4291765976000001,2,1,22,United States,1.4,Quantitative,0.3,None,0,0,0.2,0.5,1.5,3.6759743626000003
157,157,Jason Miller,0.91110442,0.475,1.2,1.0,0.8,0.0,4.0,0.7041466432000001,0,0,21,United States,1.4,Quantitative,0.6,None,0,0,0.0,0.5,0.0,3.6152510632000006
283,283,Jesse Adams,0.81839287175,0.355,1.2,0.5,0.0,0.9,3.0,0.6932111496000001,0,0,31,United States,0.7,Humanities,0.6,None,0,0,0.0,0.5,0.0,3.61160402135
184,184,John Han,0.9231974355,0.475,1.2,0.0,0.8,0.0,2.0,0.5411595232,0,0,27,United States,0.7,Engineering,0.3,None,0,0,0.0,0.5,0.75,3.4643569587
241,241,Thomas Branham,1.0286852565,0.4,1.2,0.0,0.0,0.9,4.0,0.299344608,0,0,22,United States,0.7,Quantitative,0.3,None,0,0,0.0,0.5,0.75,3.4280298645
21,21,Todd Erving,0.9285843725,0.23,1.2,0.5,0.8,0.0,6.0,0.49627578880000006,4,0,28,Canada,1.4,Engineering,0.6,None,0,0,0.2,0.5,0.75,3.4248601613
249,249,Brian Hendrickson,0.8170050935,0.395,1.2,0.25,0.0,0.9,4.0,0.4957964896,0,0,24,United States,0.7,Sciences,0.3,Club/Intramural,0,0,0.0,0.5,0.75,3.4128015831000003
428,428,Erin Mohammad,0.9628258835,0.19,1.2,0.5,0.0,0.9,3.0,0.3398180296,0,0,25,United States,0.7,Quantitative,0.9,None,0,0,0.4,0.5,1.5,3.4026439131000004
99,99,Ray Cogan,0.8921043559999999,-0.055,1.2,1.0,0.0,0.9,1.0,0.37983235439999996,2,0,26,United States,0.7,Engineering,0.6,None,0,0,0.4,0.5,1.5,3.3719367104
348,348,Shaun Kelly,0.699390326,0.295,1.2,0.75,0.8,0.0,5.0,0.6447779936,0,0,24,United States,0.0,None,0.0,None,0,0,0.2,0.5,1.5,3.3441683195999996
288,288,August Gray,0.767320102,0.35,1.2,0.25,0.8,0.0,5.0,0.42918977360000005,0,0,24,United States,0.7,Sciences,0.6,None,0,0,0.2,0.5,0.75,3.1965098756000003
17,17,Paul Adams,0.8102905392499999,0.24,1.2,0.0,0.8,0.0,2.0,0.35229114,4,0,29,United States,1.4,Quantitative,0.6,Club/Intramural,-2,-1,0.0,0.5,1.5,3.1625816792499997
173,173,Harry Payne,0.75452137375,0.475,1.2,0.25,0.8,0.0,4.0,0.40425698800000004,0,0,23,United States,0.7,Humanities,0.6,Club/Intramural,0,0,0.2,0.5,0.0,3.15877836175
272,272,Roger Montano,0.681962304,0.365,1.2,1.0,0.0,0.9,3.0,0.3429337984,0,0,23,United States,0.7,Engineering,0.6,None,0,0,0.2,0.5,0.0,3.1248961024
123,123,Lee Lewis,0.80908015475,0.265,1.2,1.0,0.8,0.0,2.0,0.3083752024,1,0,30,United States,0.7,Sciences,0.6,None,0,0,0.0,0.5,0.75,3.11745535715
183,183,Andre White,0.81152179725,0.475,0.6,0.0,0.0,0.9,4.0,0.7779744328,0,0,34,Mexico,1.4,Sciences,0.6,None,0,0,0.2,0.5,1.5,3.0894962300500004
236,236,Herman Henderson,0.62108344475,0.405,1.2,0.0,0.8,0.0,2.0,0.46029992640000006,0,0,24,United States,1.4,Engineering,0.9,Club/Intramural,0,0,0.2,0.5,0.75,3.0813833711500003
451,451,James Boggess,0.8548587205,0.13,1.2,0.75,0.8,0.0,3.0,0.22035702880000005,0,0,25,India,0.7,Quantitative,0.6,None,0,0,0.0,0.5,1.5,3.0752157493
217,217,Jose Sipe,1.01137908325,0.42,0.6,1.0,0.8,0.0,5.0,0.6611612367999999,0,0,24,United States,0.7,Engineering,0.3,None,0,0,0.4,0.5,0.0,3.0725403200500003
37,37,Frank Karow,0.8945635845000001,0.05,1.2,0.75,0.8,0.0,5.0,0.16470981280000002,3,0,35,United States,0.7,Sciences,0.6,None,0,0,0.2,0.5,1.5,3.0592733973
316,316,Nickolas Velez,0.94653968125,0.32,1.2,1.0,0.8,0.0,5.0,0.08815209040000001,0,0,34,United States,0.7,Humanities,0.6,None,0,0,0.2,0.5,0.75,3.03469177165
192,192,Jay Walker,0.7870237984999999,0.45,1.2,0.5,0.0,0.9,5.0,0.1473239472,0,0,29,United States,0.7,Sciences,0.3,None,0,0,0.2,0.5,1.5,3.0343477457
287,287,William Zuehlke,0.872458038,0.35,1.2,0.5,0.0,0.9,2.0,0.014414876,0,0,31,United States,0.7,Engineering,0.3,None,0,0,0.4,0.5,1.5,2.986872914
154,154,Frank Kutz,1.0246728602500002,0.475,1.2,0.25,0.0,0.0,1.0,0.6700010056000001,0,0,32,United States,0.7,Humanities,0.6,None,0,0,0.4,0.5,0.75,2.89467386585
274,274,Warren Ray,0.96003713875,0.36,0.6,0.75,0.8,0.0,3.0,0.5219279920000001,0,0,24,United States,0.7,Humanities,0.3,None,0,0,0.4,0.5,0.0,2.8819651307500003
291,291,Glen Burton,1.012907068,0.345,1.2,0.0,0.0,0.0,4.0,0.6671247752,0,0,25,Mexico,1.4,Sciences,0.6,None,0,0,0.4,0.5,0.0,2.8800318432000003
444,444,Janis Frazier,0.8766059782500001,0.145,0.6,0.0,0.8,0.0,3.0,0.598106624,0,1,31,United States,1.4,Humanities,0.6,Club/Intramural,0,0,0.2,0.5,0.75,2.8747126022500002
277,277,David Nixon,0.77349427775,0.36,1.2,0.5,0.0,0.0,2.0,0.8808335736,0,0,32,United States,0.7,Sciences,0.6,Club/Intramural,0,0,0.2,0.5,0.0,2.85432785135
447,447,Justin Butler,0.7524505347499999,0.135,0.6,1.0,0.8,0.0,6.0,0.6754972600000001,0,0,25,United States,1.4,Humanities,0.6,Club/Intramural,0,0,0.4,0.5,0.0,2.82794779475
197,197,John Kaufman,0.9582884435,0.44,1.2,1.0,0.0,0.0,5.0,0.6388937536000001,0,0,27,United States,0.7,Engineering,0.6,Club/Intramural,0,0,0.2,0.5,0.0,2.7971821970999997
224,224,Ryan Jones,0.6471044795,0.415,0.6,0.25,0.8,0.0,2.0,0.7459490080000001,0,0,22,United States,0.7,Sciences,0.3,Club/Intramural,0,0,0.0,0.5,0.0,2.7930534875000004
25,25,Larry Pompey,0.7796089454999999,0.475,0.6,0.5,0.0,0.9,1.0,0.5060726464,3,0,28,United States,0.7,Sciences,0.3,NCAA/Professional,0,0,0.2,0.5,1.5,2.7856815919
407,407,Archie Hearn,0.8814270434999999,0.225,0.6,0.5,0.0,0.9,4.0,0.38666302,0,0,25,United States,0.7,Engineering,0.6,None,0,0,0.2,0.5,1.5,2.7680900635
201,201,Lester Vassel,0.9101864395,0.435,1.2,0.75,0.0,0.0,2.0,0.647750972,0,0,27,China,1.4,Quantitative,0.3,None,-2,0,0.2,0.5,0.75,2.7579374115
132,132,Robert Dalbec,0.738150621,0.205,1.2,0.25,0.0,0.0,2.0,0.818465228,1,0,31,United States,0.7,Quantitative,0.3,None,0,0,0.0,0.5,0.0,2.756615849
487,487,Henrietta Wiggs,0.5660247485000001,0.02,1.2,0.25,0.8,0.0,3.0,0.174451524,0,1,35,United States,0.7,Humanities,0.6,NCAA/Professional,0,0,0.2,0.5,1.5,2.7404762725
301,301,Angela Duskey,0.9735608484999999,0.335,0.6,1.0,0.8,0.0,4.0,0.36300887280000005,0,1,25,United States,1.4,Quantitative,0.3,None,0,0,0.0,0.5,0.0,2.7365697213
478,478,Tara Smith,0.95137616875,0.055,1.2,0.0,0.0,0.0,5.0,0.5640150392000001,0,1,37,United States,0.7,Engineering,0.6,NCAA/Professional,0,0,0.2,0.5,0.75,2.7153912079499998
387,387,Mark Childs,0.9609630355,0.245,0.6,1.0,0.8,0.0,3.0,0.3511398424,0,0,25,United States,0.7,Sciences,0.6,None,0,0,0.2,0.5,0.0,2.7121028779
345,345,Hal Crowson,0.6921198709999999,0.3,1.2,0.0,0.0,0.0,2.0,0.8087466672,0,0,22,United States,0.7,Humanities,0.3,None,0,0,0.0,0.5,1.5,2.7008665381999997
140,140,Stephen Cooksey,0.9923574155,0.11,1.2,0.25,0.0,0.0,2.0,0.5057184031999999,1,0,22,United States,0.7,Quantitative,0.9,NCAA/Professional,0,0,0.2,0.5,0.0,2.6980758186999996
343,343,Hazel Anderson,0.716683686,0.3,0.6,0.0,0.8,0.0,1.0,0.5729872784,0,1,30,United States,0.7,Engineering,0.3,Club/Intramural,0,0,0.0,0.5,0.0,2.6896709644
228,228,William Hershenson,0.9669738040000001,0.41,1.2,1.0,0.0,0.0,2.0,0.5194142384,0,0,23,Canada,0.7,Engineering,0.3,NCAA/Professional,0,0,0.2,0.5,1.5,2.6863880424
54,54,Phillip Goers,1.069867153,0.475,1.2,0.75,0.0,0.0,1.0,0.4035409376000001,2,0,24,United States,1.4,Engineering,0.6,None,0,0,0.0,0.5,1.5,2.6734080905999997
423,423,Sandy Gregory,0.74334799,0.195,1.2,1.0,0.0,0.0,1.0,0.719455468,0,0,23,United States,1.4,Engineering,0.6,Club/Intramural,0,0,0.0,0.5,0.0,2.662803458
152,152,Christopher Jordan,0.77925486025,0.475,1.2,0.75,0.0,0.0,3.0,0.6696745488,0,0,24,United States,0.7,Quantitative,0.6,Club/Intramural,0,0,0.2,0.5,0.0,2.64892940905
202,202,Sherika Ray,0.8904509397499999,0.435,1.2,0.0,0.0,0.0,5.0,0.5544469688,0,1,22,United States,0.7,Humanities,0.6,Club/Intramural,0,0,0.0,0.5,1.5,2.64489790855
330,330,Michael Booker,0.84865824675,0.31,1.2,0.75,0.0,0.0,2.0,0.5937960976000001,0,0,26,United States,1.4,Sciences,0.9,Club/Intramural,0,0,0.2,0.5,0.0,2.64245434435
479,479,Robert Owens,0.87778681275,0.045,1.2,0.0,0.0,0.0,3.0,0.562388264,0,0,26,Australia,0.7,Engineering,0.6,None,0,0,0.2,0.5,1.5,2.6401750767500003
167,167,Phoebe Snyder,0.8533868859999999,0.475,1.2,0.75,0.0,0.0,6.0,0.5798948112000001,0,1,25,India,0.7,Quantitative,0.6,None,0,0,0.0,0.5,1.5,2.6332816972
5,5,Marshall Clement,0.96181342975,0.405,1.2,0.0,0.0,0.0,3.0,0.46860290800000004,4,0,31,United States,0.7,Quantitative,0.9,None,0,0,0.0,0.5,0.75,2.63041633775
440,440,Harvey Hunter,0.8189034527500001,0.15,1.2,0.25,0.0,0.0,2.0,0.6071155456000001,0,0,32,United States,0.7,Quantitative,0.3,None,0,0,0.2,0.5,0.75,2.62601899835
254,254,Ronald Nikas,0.712181473,0.39,0.6,0.75,0.0,0.9,4.0,0.4136026544,0,0,28,United States,0.7,Humanities,0.3,None,0,0,0.2,0.5,0.75,2.6257841274000002
422,422,Moises Hill,0.81136969125,0.195,1.2,0.0,0.0,0.0,1.0,0.6058167480000001,0,0,28,India,0.7,Sciences,0.6,Club/Intramural,0,0,0.2,0.5,0.75,2.61718643925
436,436,John Mock,0.777385833,0.16,0.6,0.25,0.0,0.9,3.0,0.335940256,0,0,27,China,0.7,Quantitative,0.6,None,0,0,0.2,0.5,0.0,2.613326089
115,115,Freddie Wearing,0.9279940090000001,0.35,1.2,0.75,0.0,0.0,1.0,0.484813872,1,0,23,United States,0.7,Humanities,0.3,None,-2,-1,0.0,0.5,1.5,2.612807881
74,74,Michael Kincaid,0.8942700675,0.325,1.2,0.0,0.0,0.0,3.0,0.5137151592,2,0,22,United States,0.7,Humanities,0.9,Club/Intramural,0,0,0.2,0.5,0.75,2.6079852267000003
159,159,Jeffrey Challender,1.02387978175,0.475,1.2,0.5,0.0,0.0,3.0,0.38126087760000005,0,0,32,Mexico,0.7,Sciences,0.9,Club/Intramural,0,0,0.0,0.5,0.75,2.60514065935
401,401,David Reed,0.74804058375,0.235,0.6,0.25,0.0,0.9,2.0,0.35274398960000003,0,0,24,United States,0.7,Engineering,0.6,None,0,0,0.2,0.5,0.0,2.6007845733500004
331,331,Brian Vitale,1.0106655415,0.31,1.2,0.25,0.0,0.0,3.0,0.3773262664,0,0,24,United States,0.7,Engineering,0.9,None,-2,-1,0.2,0.5,0.0,2.5879918079
11,11,Lester Morrow,0.813019325,0.345,1.2,0.75,0.0,0.0,4.0,0.5726172376,4,0,27,United States,0.7,Quantitative,0.3,NCAA/Professional,0,0,0.4,0.5,0.0,2.5856365626
213,213,Ron Ruiz,0.9056215372499999,0.425,0.6,0.5,0.8,0.0,1.0,0.2677069656,0,0,33,India,0.7,Sciences,0.6,Club/Intramural,0,0,0.0,0.5,0.0,2.57332850285
334,334,Roland Otero,0.879789623,0.305,1.2,0.75,0.0,0.0,5.0,0.4930303608,0,0,26,United States,0.7,Humanities,0.3,None,0,0,0.0,0.5,0.0,2.5728199837999997
